classificacao,comentario
normal,"Eu sou mestiço é tenho orgulho disso.chega disso d ter q ser branco ou negro,sou mestiço."
normal,Acabei de descobrir então que sou adotada...meus pais de pele negra e eu parda...
normal,"Sou negra, e cresci ouvindo as pessoas me chamarem de &quot;morena&quot;. Cara isso è mto confuso kkkkk e eu começei a me questionar sobre esse tipo d coisa.<br />Agr se me chamam de morena eu nem ligo, sei qm sou❤<br />Amei o video❤"
normal,"E se falando de racismo, é sofrido até dentro das religiões seja lá qual for..."
racista,é dificil viu ter que aturar esses pretos se sentindo intelectuais 
normal,"tenho pele clara, tipo um marrom claro, e me considero negra, pelas minhas características físicas. Tem gente que me chama de parda, de índia porém eu sou o que acredito ser.  Na minha certidão, está que eu sou parda, porém não mantive a mesma cor, minha pele escureceu mais.<br />Meu pai é branco e minha mãe nem eu sei que cor é, ambos com traços finos e olhos grandes e escuros."
normal,"sou parda uma mistura de brancos, negros, indigenas..tenho todas essas cores na minha pele, na minha familia, nao concordo com o trmo &quot;negra clara&quot;"
normal,"Essa conversa de &quot;você pode ter sofrido racismo sem saber&quot; é conversa pra boi dormir. Se não se sentiu ofendido, não sofreu, ué.<br />&quot;Processo de embranquecimento&quot; é outro ponto engraçado, porque o fato de você ter um pai negro e outro branco, não te faz negro nem branco. É uma nova ordem, uma nova etnia assim como a mistura de negros com índios e índios com brancos.<br />Se é conveniente dizer que existe negro de pele clara, posso dizer que existe o branco queimadinho de sol. E se não puder existir o branco de pele mais escurinha, também não existirá negro de pele clara. São dois pesos e duas medidas? Fica injusto. Parem de diminuir uma etnia para enaltecer outra. Mestiços existem e pardo não é só papel, assim como manga não é só fruta e laranja não é só cor."
normal,"Meu prof de história me questionou sobre isso e eu não puder responder. Uma amiga minha falou com uma colega q se diz parda, q ela era negra e pediu para que o prof confirmasse e  Ele simplesmente disse q os militantes negros são muito radicais em questão de cor q existe pardo sim,  pq os índios são pardos e não são negros. Como eu poderia debater esse assunto?"
normal,SIMMMMM
normal,Maravilhosa! Adoro seus vídeos!
normal,Quando bati o olho.. Identifiquei vc como negra. Fiquei confusa haha <br />Também sou negra de pele clara 
normal,"quando eu vi pessoas que eu considerava brancas se dizendo pardas eu fiquei me questionando se eu era realmente a parda que eu me considerava kkk <br />Eu sinto muito isso de des-pertencimento, afinal eu nunca diretamente fui atacada pela cor da minha pele.. já sofri pelo cabelo crespo/cacheado mas sabe, eu sinto como se minha vivência+minha cor não afirmasse a minha identificação como negra. <br />mas é aquela coisa né, eu não sou parda, branca muito menos..."
normal,esse video me tirou muitas duvidas aaaa maravilhosa 
normal,"Vc é mulata, o chamado PARDO...pra mim é tudo igual! Teve pais negros, descendêntes, traços...Moreno não é cor de pele.. é o branco de cabelo preto  bronzeado do sol..."
normal,"Não existem apenas negros e brancos! Sou uma mistura de branco com negro e indígenas, devo ignorar isso!?"
normal,"gnt eu descobri que eu sou negra , nossa senhora"
normal,"O racismo e esses &quot;modelos&quot; que você falou, junto com o machismo definiram muitas situações negativas em minha vida, obrigada pelos esclarecimentos!"
normal,Muito obrigada pelo vídeo tão claro. Muito importante.
normal,"“Preto é cor, negro é raça”. Será mesmo?<br />Pra muito além da velha questão de só haver, ou não, uma raça – a humana –, o que nos interessa agora é somente o emprego da palavra “negro” para designar mulheres ou homens africanos e seus descendentes na diáspora. Por se tratar de uma palavra da língua portuguesa, procuremos por seu significado no dicionário mais popular desse idioma no Brasil, o Aurélio (1985). E lá consta: Da cor preta, diz-se do indivíduo de raça negra, preto, sujo, encardido, sombrio, lúgubres, funesto, escravo.<br />Quando os portugueses invadiram essa terra que hoje chamamos Brasil, houve a tentativa de escravizar os nativos. Por questões que não nos cabe abordar nesse momento, esse empreendimento não vingou e o escravizado nativo foi substituído pelo africano. Mas para se distinguir um do outro, ao se referir aos escravizados indígenas, os portugueses diziam “negros da terra”, ou seja, negros da própria terra sobre a qual trabalhavam. Os outros negros vinham de fora, de outra terra, vinham de África. Como o próprio dicionário diz, negro é sinônimo de escravo."
normal,"Já nem sei oque sou, tenho a pele amarelada escura, e quando digo que sou negra (chega uma negra de cor escura e fala que não sou nunca) quando digo que sou parda (vem todo mundo disser que pardo não existe), quando digo que sou branca (falam: você branca? Kkkk)"
normal,"achei MUITO interessante tudo que você falou sobre o assunto. Gostaria que você me desse opinião sobre isso: Já que no Brasil nós somos em grande parte miscigenados, a questão de ser negro ou não ser negro, digamos assim que a permissão de &quot;se identificar com uma identidade negra&quot; vai se restringir à ter sofrido preconceito racial a partir da cor da pele em algum momento da sua história? Digo isso pelos seus comentários, em que você disse que não são os traços estereotipados de negro que vão definir se alguém é negro ou não, já que no seu caso, seus traços são diferentes do que as pessoas imaginam como traços negros, mas em compensação sua pele é escura,e você já sofreu com esse racismo direto ou indireto. No meu caso, meus traços são mistos como os seus, porém minha pele é clara, e eu socialmente sou lida sim como branca,branca mesmo,não mulata ou algo assim,então não sofro preconceitos raciais. No entanto minha avó paterna é mulata/cafuza, os irmãos e parentes dela são igualmente assim,e  eu convivi com isso desde muito pequena,e sempre me senti intimamente ligada à essa identidade, à essa luta também.  Sei que socialmente ninguém vai me encaixar no grupo de negros e pardos, não importa como eu me identifique. Mas estaria errado eu me considerar assim(não que o fato de estar ou não errado vá mudar como eu me sinta), justamente por quê não sou vista assim pela sociedade e nem sofro esse tipo de preconceito de forma direta?(embora eu sempre sofra intimamente com as situações que envolvam racismo, direto ou velado)"
normal,"Como assim não é branca e nem tão negra?! Kkkkkkkk <br />Mulher pelo amor de Deus, o que não existe é a aceitação da miscigenação não somos bicolores NUNCA seremos! Pardos são mestiços, de negros de brancos e índios! Não vou negar nenhuma das minhas etnias só prq falar que é preto ou branco ta na moda não sou bicolor sou mestiça outra parda! E isso não é rotular é assumir o que vc é!"
normal,"Oi te acho uma mulher incrível linda e inteligente, uma mulher empoderada. Mas deixe me te perguntar, você não acha que algumas dessas situações de &quot;racismo&quot; não é da cabeça de algumas pessoas ? Não estou falando que não existe, em ipotese alguma, sou muito consciente que todos nós sofremos racismo de alguma forma, e que há muitos ditados que realmente ofende e muitas pessoas falam por força do abto, eu nunca fui ligada muito pra minha cor e acho que vocês deveriam ligar menos ignorar sabe, acho que vocês estão muitos focado nesse negócio de racismo, acho que sua raça e a minha é a mesma coisa tem o mesmo valor, cada raça tem sua beleza, mas vocês enfatizando o racismo faz com que as pessoas note mais, sabe. <br />    Sabe na escola quando você não gosta de uma coisa e seus colegas descobre ? E fasem de tudo pra te chatear esfregando isso na sua cara? Na minha opinião é o que acontece.<br />   Vocês ficam lembrando que somos diferentes de vocês a toda hora....<br />&quot;Não estou disendo pra aceitar os abusos de gente otária,  vcs tem mesmo que se defender &quot;."
normal,Tenho a pele negra clara (q seria a chamada parda) mas meu cabelo é 2a(um ondulado quase liso) ai eu fico sem saber se eu posso me chamar negra ou não. Pq os brancos me acham escura pra ser branca e os negros me acham clara pra ser negra. Ai eu fico tipo sem saber kkkkk.
racista,"Preta clara?então também tem branca escura? Me poupe! Isso é mestiça e preto é preto cabelo ruim e essas coisas, fim.. "
normal,"Nataly, você é muito maravilhosa! Obrigada pela aula!!! Vou usar esse vídeo em sala de aula! Beijão!"
normal,claramente mitos racistas machistas e sexista
normal,"Negro não é cor (é um termo usado para algo ruim), e ninguém é preto realmente. Cada um tem um cor de pele diferente."
racista,"Sim sim negro só tem que ter nariz largo e traços largos sim sabe pq quando as pessoas te olha na rua e ver nítido que tu é negro não tem dúvidas  é por causa de místico como vc e Rayza Nicácio que os negros retintos não tem espaço pq as pessoas acha vc é negra e não místiça, qual o problema de achar místiça pó minha vó é descendente negro com índio é misturada mano que doidera ela é brasileira como que tenho na família descendentes quilombolas, holandeses e indígenas, portuguêses..."
normal,eu nunca sofri racismo de verdade eu acho q não
normal,"eu sou parda e queria saber aonde me encaixava mais, se falava q era branca eu era zoada se falava q era negra tn"
normal,"o vídeo me fez lembrar a história da minha família, pois é minha bisa veio da Itália nesse período de &quot;embranquecimenro&quot; e ela casou com o meu bisavô que era negro e a mãe foi uma escrava alforrida."
normal,E eu q ñ gostava de textos muito grandes acabei perdendo o controle com a emoção
normal,"Eu tenho cabelo cacheado e pele escura mas origem indígena, eu sofri racismo e bullying achei q eu era negra comecei a ver vídeos sobre racismo, mas eu tive uma grande indecisão em relação ao que eu era, pq oq falam sobre índios ñ chegava nem perto do poder q os negros conseguiram, sendo q os dois sofrem pq os dois foram escravizados, mas indio so é lembrado na história como se isso índio tivesse acabado ñ existisse mais, eu sei q sou indígena, mas por muito tempo neguei isso por ñ ter o cabelo liso e etc. Eu admiro muito você pq se encontrou e agora me ajudou a me encontrar tbm, sempre adimirei a força dos negros e poder deles, e agora quero ajudar índios a acharem um lugar na terra q um dia foi deles. Sou só uma adolescente que ñ tem poder pra muita coisa mas tudo q estiver ao meu alcance eu farei, quero ser como você, mas ñ repetindo as mesmas coisas q você fala mas falando sobre o meu povo com a mesma convicção e amor q você fala."
normal,Não concordo quando você diz que é branca clara de traços finos. Aonde ?????????????????
normal,Eu tinha uma visão tão distorcida de colorismo. Eu sou negro de pele mais clara e questionei uma youtuber socióloga sobre o conceito de colorismo e ela me indicou seu vídeo.MUITO OBRIGADO! GRATIDÃO ETERNA!
normal,Infelizmente você só falou besteira no vídeo. Em qual Universidade você estudou?
normal,Como eu sempre falei para o meu marido que foi para o céu a poucos dias a cor interfere no carácter por isso acho que não devemos levantar bandeira de cor sou branca meu eterno amor era negro e nossa filha é  morena uma mestiça pois não é negra nem branca e sempre amei isso acho tão ridículo esse negócio de bandeiras de cor pq isso só nos separa um dos outros e Deus criou os seres humanos de diferentes formas e cores
normal,Que Vídeo magnifico! Me ensinou  muito!
normal,Pardo é mistura. Não sou branca nem negra. Deu uma escorregada aí.
normal,"Cara,quando ela falou sobre a questão de negro só ter nariz largo,bunda grande e etc,eu me lembrei q uma vez a professora me pediu pra minha turma desenhar algo relacionado a cultura negra e então eu desenhei uma moça negra e uma menagem sobre aceitação,aí a professora disse q a moça do meu desenho não era negra pq tinha um nariz muito largo e nem olhos grandes.<br />E aí eu falei pra ela:<br />– Mas meu pai e grande parte da minha família são negros e não são assim.<br />Fiquei sem entender pq ela(professora) disse isso."
normal,Racismo n é estrutural..é descriminação
normal,Infelizmente colorismo não existe
normal,"Eu achava q nunca tinha sofrido racismo..ate eu começar a pensar nas vezes q minhas amigas conseguiam sempre serem paqueradas;qdo eu criança e nao me chamavam pra brincar;qdo meus familiares maternos(tds brancos),faziam festinhas em casa e nao convidava a mim e meu irmao;qdo td q eu fazia de errado,surtia 10x mais efeito q os erros das pessoas q tb erravam e eram brancas...enfim,as pessoas pensam q nao sofrem racismo,mas td negro sofre,sofreu ou sofrera racismo ..so nao percebeu."
normal,Vc é branquitude! Sorry
normal,Parabéns pela ótima explicação!!
normal,Gente eu n me considero Branca  Sou uma Negra Clara mas quando digo que sou negra fica todo mundo vc ta doida menina? Se olha no espelho? É logico que não? E fica todos rindo da minha cara!!!
normal,"Esses esquerdistas estão a todo custo querendo transformar  pardos em negros, mesmo já  ter tido pesquisas geneticas q os brasileiros pardos possuem uma genética  branca na faixa de 65% , e esse povo  insiste  em soltar mentiras. Vão  em Angola e Nigéria  e depois vão  em Portugal  e ver com quem os brasileiros pardos se parecem? Lógico  q nos veremos nos portugueses . Outra coisa a maioria dos brancos do Brasil são  de origem portuguesa ( grande maioria ) italianos, espanhóis  e sírio libanêses, ou seja , povos mediterrâneos e parecidos fisicamente entre si, são  na grande maioria morenos de cabelos e pele bronzeada, observa Cristiano Ronaldo ele ñ  é  loiro de azuis e é  um típico  português, assim como o ator português Ricardo Pereira q é  Moreno. Esse povo tá  distorcendo tanto, q quer dizer q branco é  quem é  loiro de olhos azuis, pra induzir os morenos se identificar como pardos pra poder inflar a quantidade de negros, já  q pretos e pardos passaram a ser considerados negros, depois do pt . E a verdade é  q a maioria de nós  somos mestiços, com predominância de DNA europeu  e depois indígena  e negro, mas estamos longe de ser um maioria  negra, a não  ser q vc more em Salvador ou no recôncavo baiano, pq mesmo nas outras regiões da Bahia, os negros são  minoria, e falo isso pois sou do interior da Bahia.  E essa de colorismo  é  mais uma piada e tentativa de destruir o mestiço e acabar com a verdadeira identidade do Brasil  q é  mestiça."
racista,"cabelo crespo nariz largo e bunda grande, se fosse uma escrava eu compraria"
normal,"Esses mestiços PARDOS são tão ridículos e desesperados em serem negros por conveniência que até criam essas teorias esdrúxulas. Vai se foder! RIDÍCULA! NÃO É NEGRA! É MESTIÇA, PARDA, ACEITE-SE! E para de roubar protagonismo de retintos! Eu sou filha de pardos, neta de negros e não me denomino negra porque tenho senso de ridículo. Affff"
normal,própria da empresa youtube
normal,Obrigado ppr existir e continuar apesar do racismo ou das diferenças do opinião gerada pela agressão da população racista. Um acalanto e um incentivo para uma vida melhor.
normal,"Só uma dúvida se vc tem um parte branca num é ? de pai ou mãe ao se admitir negra? gostei do vídeo, mas fiquei na duvida."
normal,você é mestiço não negra
normal,"Existe muita mistura no Brasil o povo n entende isso . Enfim existe negros de pele escura com traços finos ... traços nao te define negro oq faz vc negro é a cor da pele vizivelmente escura ,acredito sim q vc é negra eu estou vendo uma negra ,agora RAYZA NICÁCIO nao é negra a pele dela é clara ,é tao simples é só ver ,acha q é negra pq tem traços negros nossa ela é branca estamos falando de cor e nao de traços e mesmo assim os traços dela nao sao apurados ,o racismo  esta relacionado a cor da sua pele e nao de quem vc é filho ou deixa de ser ou por seus traços negro."
normal,"Eu sou verde, quero minha cota! hahahah"
normal,"Eu sou &quot;pardo&quot;.. Tipo eu não posso falar que se eu sou negro pq vão achar estranho e os negros e os brancos podem falar que eu não sou nenhum dos dois. Isso é estranho pras pessoas. Espero que tenham entendido, e eu concordo 100% com você Nátaly."
normal,"Já cansei de escutar  &quot;Você n é negra, só é escurinha&quot;, &quot;Parda não é negra&quot;, &quot;Seu pai pode até ser negro mas sua mãe não, você é parda&quot;, &quot;seu cabelo não é afro, só é cacheado&quot;...<br />Eu sou negra clara, sofro colorismo, descendente direta de quilombolas, porém minha mãe é branca e por isso minha pele é mais clara, mesmo sendo mais &quot;aceitável&quot; para a sociedade o racismo velado se faz presente quando falam pra eu alisar o cabelo, pois cabelo liso é mais elegante..."
normal,Que mulher massa!
normal,"eu sou negra de pele clara, com traços finos, cabelo naturalmente liso e corpo naturalmente magro, bem longe da mulata.. quando fui fazer minha identidade a mulher não deixou q eu me posicionasse como negra pq não sou ``africana``, isso tá certo produção? Eu sempre me vi negra.."
racista,Escurinha ela kk
normal,"Engraçado manter a consciência  da origem negra, mas esconder sua origem branca. Se você é filho de branco e nasce negro claro, parabéns! Você é mestiço."
normal,&quot;pardo é uma maneira de te embranquecer&quot;.<br />Pq separar tanto as pessoas? <br />Cada dia pior
normal,É foda Camila Pitanga ser considerada a mulher negra mais bonita gozando de privilégios brancos.
normal,O negro se diz negado e nega pardo . Pardo n e negro  e nem negro claro existe o ibge define pardo como negro por condição financeira parecida ou seja pardo e considerado negro pra engrossar minoria pra se diser maioria populacional movimento negro no brasil pensa que aki tem mais negro que em paises da africa.
normal,"Sou mais ou menos da sua cor e as pessoas me consideram branca, pq não sou &quot;muito negra&quot;, fico puta com isso, pq demorou anos pra eu me reconhecer como negra, sempre neguei e achei ser negro um defeito e agora que aceitei minha cor, falam que sou branca."
normal,Privilégios?
normal,Negra de pele clara?
normal,vish tenso
normal,"Gente que linda, que deusa."
normal,Na verdade hoje no Brasil (e no mundo) deixou de existir a afro-descendencia e passou a imperar o AFRO-CONVENIÊNCIA se é que vc me entende.
normal,E os mestiços e Pardos não existem mais  ????  Amarelo ??? só tem Branco e Negro ????? fiquei Cafuzo e Mameluco Agora !!!!!!!
normal,"Bem... a mistura pode ter sido láaaa atras... ngm sabe ao certo.  Pegou mais a cor de um, nariz/boca de outros... acontece o tempo todo, hoje em dia inclusive.<br />Nao da p dizer onde comecou a miscigenacao se só sabe ate a 4a geracao.<br /><br />Mas, msm sendo miscegenada ou nao, o critério é subjetivo, auto-declaracao. E se sofreu racismo, isso pode influir nessa auto-declaracao justamente."
normal,&quot;miga eu nao sofri racismo&quot;<br />SOFREU SIM TA LOKA?
normal,Qual a dificuldade de se ver parda?
normal,"Filha, você não é negra nem branca, simplesmente mestiça. Qual o problema disso?"
normal,Até hoje não sei qual é minha cor
normal,"Você não é negra se vc tiver um corpão, vc não é negra só se vc tiver um narizão. Mas pra mim também não é negro quem tem pai ou mãe branco. Quando misturamos a cor preta com a branca ela se torna cinza. Nem branco, nem preto. Quando a égua cruza com o jumento nasce o burro. Nem jumento, nem égua. O cruzamento entre um gato doméstico e um gato africano selvagem da origem ao Gato Savannah. O Ligre é o cruzamento entre um leão e uma tigresa! E por ai vai... Nós não somos diferente dos outros mamíferos. Na junção entre raças diferentes surge sim uma terceira denominação, no nosso caso os mestiços! E tudo bem! Pode-se lutar pela causa negra, sem renegar a origem e raiz branca. Se eu tivesse pai ou mãe brancos jamais iria desmerecer ou renegar essa minha raiz, e não estou dizendo que vc está fazendo isso, mas vejo muitos mestiços simplesmente se esquecendo que pertencem aos dois mundos quando poderiam utilizar está &quot;ferramenta&quot; na luta por igualdade."
normal,Negra de pele clara | branca pele de escura = mestiça <br />somos todos seres humanos...
normal,A única coisa que acho: <br />1(branco)+2(negro)=3(mestiço) <br />Fim.
normal,maravilhosa
normal,"ser negro é alto identificação, é vc quem define isso, independente de padrões boçais."
normal,Negra de pele clara? Você simplesmente ignora grande parte de sua genética?
normal,Obrigada pelo tapa na cara!
normal,"Nataly sempre se doando, compartilhando conhecimento. MUITO OBRIGADA! VOCÊ AJUDA MILHARES DE PESSOAS."
normal,"O que diabos vocês estão tomando no sudeste ?!? O que está acontecendo com os mestiços brasileiros ? Por que essa negação da suas outras ancestralidades? Gente, vocês estão ficando bugados ! Não é possível uma coisa dessas !"
normal,"Parem de rotular os mestiços...<br />Nos mestiços somos mestiços<br />Entendam, isso faz a gente se sentir mal<br />E não é porque somos mestiços que estamos negando nossas origens. Pelo contrário, estamos valorizando ambas, sem ferir nenhum lado da família.<br />Obs: vocês podem me dar um apoio se inscrevendo no meu canal? ❤"
normal,Maravilhosa!!!!!!!
normal,"Então eu filha de pai branco e mãe branca, nasci parda... sou &quot;branca escura&quot;?"
normal,"Nátaly, eu sempre tive muita dificuldade de entender minha etnia. Sou claramente não-branca mas não me sinto à vontade de me auto afirmar como negra... Nessa, me perco em entender qual é o meu lugar :/ Em alguns lugares, vejo negros dizerem que pardos fazem parte do movimento negro e, em outros, vejo negros afirmarem que pardos NÃO são negros. Estou perdida."
normal,"<b>Pardos tem que ser considerados sim! Se eu não sou parda, onde me encaixo então? Parem de desmerecer a mistura de muitas famílias, a minha é bem misturada por exemplo</b><br /><br /> Sou filha de pais que são pardos,tenho uma boca nem fina nem grossa, raiz do cabelo lisa e pontas cacheadas e nariz fino.<br />Tenho uma avó branca e um avô pardo. Uma avó parda e um avô branco. Os irmãos da minha mãe são negros com narizes grandes (um traço caucasiano), mas  ela é parda. 2 irmãos do meu pai são brancos com narizes achatados,característica negra, mas ele e meu outro tio são pardos, com narizes finos. Meus bisavôs eram brancos, minhas bisavós, pardas.<br />Eu sou parda. Não vou ignorar toda essa mistura complexa.<br /><br />Muitos pardos tem medo, sim, medo de dizer que são negros e receberem um &quot;Não vc não é&quot; mas também tem receio em se nomearem mestiços ou pardos, porque principalmente a partir de 2015 com toda essa militância de internet que &quot;demoniazam&quot; a palavra pardo, dizendo que é cor de papel e que se você não é branco então é negro.<br /><br />Vocês precisam entender que, entre o branco e o negro tem uma rachadura no meio, que assim como eu não sabe pra onde ir (Não sabia, agora eu sei). A mesma coisa vale pra filhos de mãe ou pai branco e mãe ou pai negro, vocês são mestiços. Aceitem!<br /><br />Camila pitanga não é negra<br />Preta gil não é negra<br />Juliana paes não é negra<br />Todas pardas sim!"
normal,Eu sou parda sim! Não vou ignorar as outras etnias que correm na minha veia.
normal,"Caraca, tô muito confusa agora, eu sou parda e não tô me encontrando mais"
normal,"Kkkkkkkkk o video dela é tão sem noção, tão absurdo que ela fala que pardo não é nem negro nem branco e uma mistura<br />Meu Amor exatamente oque vc é isso que chama de &quot;negra clara&quot;"
normal,"É claro os negros de &quot;pele escura&quot; sofre mais porque são realmente negros, os tons &quot;claros&quot; não sofrem tanto  porque os tons Claros não são negros são pardos assim como vc levanta a bandeira militante negra mais é uma parda assim como eu, negra de pele clara é fodaaaa né anjo"
normal,"Essa diversidade é que nos torna iguais, principalmente, aqui no Brasil. É um absurdo que o preconceito exista se a miscigenação é tão grande, eu sou neta de preto, parte da minha família é negra e de características negras, mas a minha avó era branca, minha mãe nasceu parda, ou seja, morena cor de jambo do cabelo liso, parece até uma Indiana. Isso é Brasil, acho lindo demais mulheres negras estilosas e homens negros também, acho lindo cabelo cacheado, sempre quis ter a infância inteira e a melhor coisa que aconteceu na atualidade foram as mulheres e homens de cabelo crespo assumirem seus black powers. Parabéns 👏👏👏 viva a diversidade!"
normal,"Mulher negra de pele clara, ou mulher branca de pele escura? &quot;meio cheio ou meio vazio&quot;<br />Só eu noto como isso é estupido? =D"
normal,"&quot;Enquanto a cor da pele for mais importante que o brilho nos olhos, haverá guerra&quot;"
normal,"Não sou negra e nem branca, me considero parda mesmo."
normal,A pior apropriação que existe é a do discurso. Pardos e mestiços também sofrem preconceito nesse país. Você é parda. E vc se dizer negra é desvalorizar o movimento negro para pessoas negras retintas. Quer ser militante? Crie o movimento do orgulho pardo.
normal,"Somos todos vira latas , grande maioria aqui veio de uma mistura entre negro , caucasiano , indio etc ... agora , o obvio aqui no Brasil é que , quanto mais escura for a pele , mais preconceito vai sofrer ...  no Brasil existe preconceito sim , porem ja visitei a Europa e la na Italia , existem alguns negros vindos da Africa , sao chamados de extracomunitarios .. porem eles nao se misturam com os brancos pra nascer um mestiço <br />Parecido com o biotipo do brasileiro , preto misturado com branco que sai extamente como nos brasileiros , tudo junto e misturado nessa porra . La sim o preconceito é velado , é cada um no seu quadrado , preto com preto e branco com branco ."
racista,"Você não é negra, seu nariz é fino."
racista,Mds por quê essas YouTube insistir em dizer que é Negra! 
normal,Esclarecedor então sou negro
normal,"Descobri o canal só agora,to amando .Detesto chegar em um lugar e ver essa palhaçada ,:DE PARDO,EU SOU NEGRA...LEIS BRASILEIRAS HIPÓCRITAS.<br />Há alguns anos atrás nas fichas pra concurso ou identificação em um Enem,vinha escrito pra preencher com negro ou branco,dps essa merda de quererem nos branquiar ,as inscrições mudaram pra 3 ou 4 tipos de cor de pele.<br />Gente somos de pele negra,e isso pra mim é um <a href=""http://prazer.um/"">prazer.Um</a> pouco das minhas convicções devo a minha mãe:sempre me ensinou q eu deveria ser algo por mim mesma,e não ser o que os outros quizessem o q eles quizessem.E dps a própria vida e nosso Brasil com muita hipocrisia me ajudaram a ter convicção do q sou e me amar mais ."
normal,"Sensacional seu vídeo, escuto muito que sou branca bronzeada, que sou parda, e toda vez que digo que sou negra de pele clara sofro com comentários que nem vc disse, mas vc tem traços finos e afins, é foda a dificuldade de aceitação da nossa sociedade preconceituosa, seguimos na luta"
normal,"Menina, cada palavra sua é uma revolta, parece que você não gosta da sua cor.Porque você não usa produtos pra clarear a pele como fez Michael <a href=""http://jakson.ai/"">jakson.Ai</a> estava tudo resolvido, porque a cor é um problema pra você. Veja, os brancos usam bronseador pra escurecer a pele, mas gostam da sua cor."
normal,"Nátali, o vídeo é maravilhoso, parabéns. Eu só gostaria de falar sobre uma outra questão que entra muito em colorismo. O cabelo. Sim, o cabelo por incrível que pareça define em qual escala de negritude uma pessoa está. Antes de passar pela transição capilar, as pessoas diziam que eu era branca, mas eu ainda era muito jovem e sem estrutura para entrar em alguma discussão sobre quem eu era de verdade e quase não me posicionava. Por volta dos meus 15 anos eu comecei a me ver como uma moça negra, indo totalmente contra o que os outros pensavam. Passei a deixar o meu cabelo crespo, do jeito bonito e natural que era. Ele, então, suplantou os meus traços finos de moça branca e apesar de alguns ainda afirmarem que eu era branca, uma maioria dizia que, sim, eu era negra."
normal,A pessoa deve   não enxergar direito   pra  dizer que vc não é negra a minha pele é parecida com a sua e me considero  negra sim e nos
normal,"PARDO E NÃO NEGRO! NÃO NEGUI SUA DESCENDÊNCIA INDÍGENA,BRANCA, ETC, PARA SÓ ACEITAR SUA DESCENDÊNCIA NEGRA! ISSO SE CHAMA RACISMO!"
normal,"Racismo é querer diminuir a maioridade penal pq vc acha q pessoas negras, pessoas da periferia estão fadadas ao crime?????<br />Q absurdo!!!!<br />Diminuir a maioridade penal é para adolescentes de 16, 17 anos por exemplo, loiros, ruivos, negros, indígenas, de bairro periférico, bairro nobre, meninos, meninas. Basta ter praticado crime e ter atingido a maioridade penal.<br />O vitimismo sai de forma tão espontânea, por ser corriqueiro, q nem se percebe o q fala."
normal,Ganhou uma fã
normal,"Bom, a contra gosto de muitos, eu me declaro mestiça. Na minha certidão de nascimento consta que sou parda. No entanto a mãe da minha bisavó era índia, minha avó é de pele clara e olhos castanhos, meu avô tem pele clara e olhos azuis (maternos). Meu avô era negro de pele bem escura, minha avó branca de olhos azuis. NÃO sou em hipótese alguma branca, apesar da pele clara e  meus olhos verdes."
normal,"Você é parda, Lívia Zaruty é Negra.Obrigada De Nada."
normal,"Obrigada por esse vídeo eu lutei varias vezes pra ser aceita como mulher negra, ouvia dizer &quot; para Deysi, VC não é tão negra assim&quot;"
normal,"Eu acho que o tema da redução da maioridade penal não tem nada a ver com racismo, envolve a questão da segurança pública que está péssima."
normal,"O termo correto para a teoria do enfraquecimento no Brasil, é Eugenismo.<br />Adorei seu vídeo. É um assunto que precisa ser discutido."
normal,Eu nunca estudei sobre isso mas eu me colocava como &quot;uma pessoa negra de pele parda &quot; scr tô confusa
normal,minha mãe e negra  eu sou parda  meu pai era branco
normal,linda
normal,Perfeitas suas colocações ...muito pertinente essa discussão. Amei. Obrigada por este vídeo.
normal,&quot;DESCOBRI QUE TENHO CABELO CACHEADO&quot; ...Por que não cabelo CRESPO???
normal,"Posso fazer uma pergunta na inocência mesmo? Só pra aprimorar meu conhecimento? Por que o &quot;pardo&quot; é considerado pelo ibge como negro sendo que ele tem o branco na sua origem também? Não estou conseguindo me expressar direito... Mas tipo, por que ser considerado negro de pele clara e não branco de pele escura, por exemplo? Aaah mano, é uma bosta não conseguir me expressar direito... Espero que consigam entender o que eu estou em dúvida."
normal,"Sou branca, minha mae é negra, estava aqui me perguntando se minha filha era negra ou não... mas depois que assisti seu vídeo me lembrei dos meu parentes quando a conheceram ela dizendo: nossa ela é &quot;morena&quot;"
normal,Mas qual o problema de ser pardo? De ser uma mistura das duas raças?
racista,"Qnt bla bla bla, se minha mãe é branca e meu pai é negro, eu sou mestiça, parda, coisa de preto se vitimizando "
normal,"Você resumiu minha vida!! Te amo de mais, sério. Agora eu posso compartilhar esse vídeo e falar: EU NÃO SOU PARDO!!"
normal,"Quem associa a diminuição da maioridade penal com o racismo só pode ser desinformado ou débil.<br />A diminuição da maioridade penal é necessária pelo crescente envolvimento cada vez mais cedo de crianças e adolescentes no crime, assim como é necessária para coibir criminosos maiores safados que se utilizam de nossas crianças como escudo para cometer seus delitos. É erga omnes."
normal,"Eu sou mestiço, pois se eu me declarar Negro vou ser apedrejado e se eu me declarar branco, também. Tenho Sangue Negro mais meus traços são europeus. Então os mestiços não podem ficar em cima do muro, pq está tudo tão dividido que se o mestiço não se declarar branco ou preto ele é ninguém, então sou ninguém na visão desses brancos e pretos."
normal,Eu sou Áfricana e a minha família tem nariz fino
normal,Adorei seu vídeo! Vc consegue descomplicar as coisas 
normal,então eu tenho traços de branco mais tenho a pele  morena eu posso ser chamada de braca da pele escura??? Pra mim não faz sentido
